!;Syntax:  NOT, \style{+B}!\style{-B}Logical NOT.;
!=;Syntax:  <>, \style{+B}!=\style{-B}Not equal:URL: http://dev.;
%;Syntax:  N \style{+B}%\style{-B} MModulo operation.;
&;Syntax:  \style{+B}&\style{-B}Bitwise AND:URL: http://dev.;
ANALYZE TABLE;Syntax:  ANALYZE [LOCAL | NO_WRITE_TO_BINLOG] TABLE tbl_name [, tbl_name] .;
AREA;Area(poly)Returns as a double-precision number the area of the Polygon valuepoly, as measured in its spatial reference system.;
ASBINARY;AsBinary(g), AsWKB(g)Converts a value in internal geometry format to its WKB representationand returns the binary result.;
ASCII;Syntax:  \style{+B}ASCII\style{-B}(str)Returns the numeric value of the leftmost character of the string str.;
ASIN;Syntax:  \style{+B}ASIN\style{-B}(X)Returns the arc sine of X, that is, the value whose sine is X.;
ASTEXT;AsText(g), AsWKT(g)Converts a value in internal geometry format to its WKT representationand returns the string result.;
ATAN;Syntax:  \style{+B}ATAN\style{-B}(X)Returns the arc tangent of X, that is, the value whose tangent is X.;
ATAN2;Syntax:  ATAN(Y,X), \style{+B}ATAN2\style{-B}(Y,X)Returns the arc tangent of the two variables X and Y.;
AUTO_INCREMENT;The \style{+B}AUTO_INCREMENT\style{-B} attribute can be used to generate a unique identityfor new rows:URL: http://dev.;
AVG;Syntax:  \style{+B}AVG\style{-B}([DISTINCT] expr)Returns the average value of expr.;
BACKUP TABLE;Syntax:  \style{+B}BACKUP TABLE\style{-B} tbl_name [, tbl_name] .;
BEGIN END;Syntax:  [begin_label:] BEGIN    [statement_list]END [end_label]BEGIN .;
BENCHMARK;Syntax:  \style{+B}BENCHMARK\style{-B}(count,expr)The \style{+B}BENCHMARK\style{-B}() function executes the expression expr repeatedly counttimes.;
BETWEEN AND;Syntax:  expr BETWEEN min AND maxIf expr is greater than or equal to min and expr is less than or equalto max, BETWEEN returns 1, otherwise it returns 0.;
BIGINT;\style{+B}BIGINT\style{-B}[(M)] [UNSIGNED] [ZEROFILL]A large integer.;
BIN;Syntax:  \style{+B}BIN\style{-B}(N)Returns a string representation of the binary value of N, where N is alonglong (BIGINT) number.;
BINARY;\style{+B}BINARY\style{-B}(M)The \style{+B}BINARY\style{-B} type is similar to the CHAR type, but stores binary bytestrings rather than non-binary character strings.;
BINARY OPERATOR;Syntax:  BINARYThe BINARY operator casts the string following it to a binary string.;
BINLOG;Syntax:  \style{+B}BINLOG\style{-B} 'str'\style{+B}BINLOG\style{-B} is an internal-use statement.;
BIT;\style{+B}BIT\style{-B}[(M)]A bit-field type.;
BIT_AND;Syntax:  \style{+B}BIT_AND\style{-B}(expr)Returns the bitwise AND of all bits in expr.;
BIT_COUNT;Syntax:  \style{+B}BIT_COUNT\style{-B}(N)Returns the number of bits that are set in the argument N.;
BIT_LENGTH;Syntax:  \style{+B}BIT_LENGTH\style{-B}(str)Returns the length of the string str in bits.;
BIT_OR;Syntax:  \style{+B}BIT_OR\style{-B}(expr)Returns the bitwise OR of all bits in expr.;
BIT_XOR;Syntax:  \style{+B}BIT_XOR\style{-B}(expr)Returns the bitwise XOR of all bits in expr.;
BLOB;\style{+B}BLOB\style{-B}[(M)]A \style{+B}BLOB\style{-B} column with a maximum length of 65,535 (216 - 1) bytes.;
BLOB DATA TYPE;A BLOB is a binary large object that can hold a variable amount ofdata.;
BOOLEAN;BOOL, \style{+B}BOOLEAN\style{-B}These types are synonyms for TINYINT(1).;
BOUNDARY;Boundary(g)Returns a geometry that is the closure of the combinatorial boundary ofthe geometry value g.;
CACHE INDEX;Syntax:  \style{+B}CACHE INDEX\style{-B}  tbl_index_list [, tbl_index_list] .;
CALL;Syntax:  \style{+B}CALL\style{-B} sp_name([parameter[,.;
CASE OPERATOR;Syntax:  CASE value WHEN [compare_value] THEN result [WHEN [compare_value] THENresult .;
CASE STATEMENT;Syntax:  CASE case_value    WHEN when_value THEN statement_list    [WHEN when_value THEN statement_list] .;
CAST;Syntax:  \style{+B}CAST\style{-B}(expr AS type)The \style{+B}CAST\style{-B}() function takes a value of one type and produce a value ofanother type, similar to CONVERT().;
CEIL;Syntax:  \style{+B}CEIL\style{-B}(X)\style{+B}CEIL\style{-B}() is a synonym for \style{+B}CEIL\style{-B}ING().;
CEILING;Syntax:  \style{+B}CEILING\style{-B}(X)Returns the smallest integer value not less than X.;
CHANGE MASTER TO;Syntax:  \style{+B}CHANGE MASTER TO\style{-B} master_def [, master_def] .;
CHAR;[NATIONAL] \style{+B}CHAR\style{-B}[(M)] [\style{+B}CHAR\style{-B}ACTER SET charset_name] [COLLATEcollation_name]A fixed-length string that is always right-padded with spaces to thespecified length when stored.;
CHAR BYTE;The \style{+B}CHAR BYTE\style{-B} data type is an alias for the BINARY data type.;
CHAR FUNCTION;Syntax:  CHAR(N,.;
CHARACTER_LENGTH;Syntax:  \style{+B}CHARACTER_LENGTH\style{-B}(str)\style{+B}CHARACTER_LENGTH\style{-B}() is a synonym for CHAR_LENGTH().;
CHARSET;Syntax:  \style{+B}CHARSET\style{-B}(str)Returns the character set of the string argument.;
CHAR_LENGTH;Syntax:  \style{+B}CHAR_LENGTH\style{-B}(str)Returns the length of the string str, measured in characters.;
CHECK TABLE;Syntax:  \style{+B}CHECK TABLE\style{-B} tbl_name [, tbl_name] .;
CHECKSUM TABLE;Syntax:  \style{+B}CHECKSUM TABLE\style{-B} tbl_name [, tbl_name] .;
CLOSE;Syntax:  \style{+B}CLOSE\style{-B} cursor_nameThis statement closes a previously opened cursor.;
COALESCE;Syntax:  \style{+B}COALESCE\style{-B}(value,.;
COERCIBILITY;Syntax:  \style{+B}COERCIBILITY\style{-B}(str)Returns the collation coercibility value of the string argument.;
COLLATION;Syntax:  \style{+B}COLLATION\style{-B}(str)Returns the collation of the string argument.;
COMPRESS;Syntax:  \style{+B}COMPRESS\style{-B}(string_to_compress)Compresses a string and returns the result as a binary string.;
CONCAT;Syntax:  \style{+B}CONCAT\style{-B}(str1,str2,.;
CONCAT_WS;Syntax:  \style{+B}CONCAT_WS\style{-B}(separator,str1,str2,.;
CONNECTION_ID;Syntax:  \style{+B}CONNECTION_ID\style{-B}()Returns the connection ID (thread ID) for the connection.;
CONSTRAINT;InnoDB supports foreign key constraints.;
CONTAINS;Contains(g1,g2)Returns 1 or 0 to indicate whether g1 completely contains g2.;
CONV;Syntax:  \style{+B}CONV\style{-B}(N,from_base,to_base)Converts numbers between different number bases.;
CONVERT;Syntax:  \style{+B}CONVERT\style{-B}(expr,type), \style{+B}CONVERT\style{-B}(expr USING transcoding_name)The \style{+B}CONVERT\style{-B}() and CAST() functions take a value of one type and producea value of another type.;
CONVERT_TZ;Syntax:  \style{+B}CONVERT_TZ\style{-B}(dt,from_tz,to_tz)\style{+B}CONVERT_TZ\style{-B}() converts a datetime value dt from the time zone given byfrom_tz to the time zone given by to_tz and returns the resultingvalue.;
COS;Syntax:  \style{+B}COS\style{-B}(X)Returns the cosine of X, where X is given in radians.;
COT;Syntax:  \style{+B}COT\style{-B}(X)Returns the cotangent of X.;
COUNT;Syntax:  \style{+B}COUNT\style{-B}(expr)Returns a count of the number of non-NULL values of expr in the rowsretrieved by a SELECT statement.;
COUNT DISTINCT;Syntax:  COUNT(DISTINCT expr,[expr.;
CRC32;Syntax:  \style{+B}CRC32\style{-B}(expr)Computes a cyclic redundancy check value and returns a 32-bit unsignedvalue.;
CREATE DATABASE;Syntax:  CREATE {DATABASE | SCHEMA} [IF NOT EXISTS] db_name    [create_specification] .;
CREATE EVENT;Syntax:  CREATE     [DEFINER = { user | CURRENT_USER }]    EVENT     [IF NOT EXISTS]    event_name        ON SCHEDULE schedule    [ON COMPLETION [NOT] PRESERVE]    [ENABLE | DISABLE | DISABLE ON SLAVE]    [COMMENT 'comment']    DO sql_statement;schedule:    AT timestamp [+ INTERVAL interval] .;
CREATE FUNCTION;The \style{+B}CREATE FUNCTION\style{-B} statement is used to create stored functions anduser-defined functions (UDFs):o For information about creating stored functions, see [HELP CREATE  PROCEDURE].;
CREATE FUNCTION UDF;Syntax:  CREATE [AGGREGATE] FUNCTION function_name RETURNS {STRING|INTEGER|REAL|DECIMAL}    SONAME shared_library_nameA user-defined function (UDF) is a way to extend MySQL with a newfunction that works like a native (built-in) MySQL function such asABS() or CONCAT().;
CREATE INDEX;Syntax:  CREATE [ONLINE|OFFLINE] [UNIQUE|FULLTEXT|SPATIAL] INDEX index_name    [index_type]    ON tbl_name (index_col_name,.;
CREATE PROCEDURE;Syntax:  CREATE    [DEFINER = { user | CURRENT_USER }]    PROCEDURE sp_name ([proc_parameter[,.;
CREATE SERVER;Syntax:  \style{+B}CREATE SERVER\style{-B} server_name    FOREIGN DATA WRAPPER wrapper_name    OPTIONS (option [, option] .;
CREATE TABLE;Syntax:  CREATE [TEMPORARY] TABLE [IF NOT EXISTS] tbl_name    (create_definition,.;
CREATE TABLESPACE;Syntax:  \style{+B}CREATE TABLESPACE\style{-B} tablespace_name    ADD DATAFILE 'file_name'    USE LOGFILE GROUP logfile_group    [EXTENT_SIZE [=] extent_size]    [INITIAL_SIZE [=] initial_size]    [AUTOEXTEND_SIZE [=] autoextend_size]    [MAX_SIZE [=] max_size]    [NODEGROUP [=] nodegroup_id]    [WAIT]    [COMMENT [=] comment_text]    ENGINE [=] engine_nameThis statement is used to create a tablespace, which can contain one ormore data files, providing storage space for tables.;
CREATE TRIGGER;Syntax:  CREATE    [DEFINER = { user | CURRENT_USER }]    TRIGGER trigger_name trigger_time trigger_event    ON tbl_name FOR EACH ROW trigger_stmtThis statement creates a new trigger.;
CREATE USER;Syntax:  \style{+B}CREATE USER\style{-B} user [IDENTIFIED BY [PASSWORD] 'password']    [, user [IDENTIFIED BY [PASSWORD] 'password']] .;
CREATE VIEW;Syntax:  CREATE    [OR REPLACE]    [ALGORITHM = {UNDEFINED | MERGE | TEMPTABLE}]    [DEFINER = { user | CURRENT_USER }]    [SQL SECURITY { DEFINER | INVOKER }]    VIEW view_name [(column_list)]    AS select_statement    [WITH [CASCADED | LOCAL] CHECK OPTION]The \style{+B}CREATE VIEW\style{-B} statement creates a new view, or replaces an existingone if the OR REPLACE clause is given.;
CROSSES;Crosses(g1,g2)Returns 1 if g1 spatially crosses g2.;
CURDATE;Syntax:  \style{+B}CURDATE\style{-B}()Returns the current date as a value in 'YYYY-MM-DD' or YYYYMMDD format,depending on whether the function is used in a string or numericcontext.;
CURRENT_DATE;Syntax:  \style{+B}CURRENT_DATE\style{-B}, \style{+B}CURRENT_DATE\style{-B}()\style{+B}CURRENT_DATE\style{-B} and \style{+B}CURRENT_DATE\style{-B}() are synonyms for CURDATE().;
CURRENT_TIME;Syntax:  \style{+B}CURRENT_TIME\style{-B}, \style{+B}CURRENT_TIME\style{-B}()\style{+B}CURRENT_TIME\style{-B} and \style{+B}CURRENT_TIME\style{-B}() are synonyms for CURTIME().;
CURRENT_TIMESTAMP;Syntax:  \style{+B}CURRENT_TIMESTAMP\style{-B}, \style{+B}CURRENT_TIMESTAMP\style{-B}()\style{+B}CURRENT_TIMESTAMP\style{-B} and \style{+B}CURRENT_TIMESTAMP\style{-B}() are synonyms for NOW().;
CURRENT_USER;Syntax:  \style{+B}CURRENT_USER\style{-B}, \style{+B}CURRENT_USER\style{-B}()Returns the username and hostname combination for the MySQL accountthat the server used to authenticate the current client.;
CURTIME;Syntax:  \style{+B}CURTIME\style{-B}()Returns the current time as a value in 'HH:MM:SS' or HHMMSS.;
DATABASE;Syntax:  \style{+B}DATABASE\style{-B}()Returns the default (current) database name as a string in the utf8character set.;
DATE;\style{+B}DATE\style{-B}A date.;
DATE FUNCTION;Syntax:  DATE(expr)Extracts the date part of the date or datetime expression expr.;
DATEDIFF;Syntax:  \style{+B}DATEDIFF\style{-B}(expr1,expr2)\style{+B}DATEDIFF\style{-B}() returns expr1 - expr2 expressed as a value in days from onedate to the other.;
DATETIME;\style{+B}DATETIME\style{-B}A date and time combination.;
DATE_ADD;Syntax:  \style{+B}DATE_ADD\style{-B}(date,INTERVAL expr unit), DATE_SUB(date,INTERVAL expr unit)These functions perform date arithmetic.;
DATE_FORMAT;Syntax:  \style{+B}DATE_FORMAT\style{-B}(date,format)Formats the date value according to the format string.;
DATE_SUB;Syntax:  \style{+B}DATE_SUB\style{-B}(date,INTERVAL expr unit)See the description for DATE_ADD().;
DAY;Syntax:  \style{+B}DAY\style{-B}(date)\style{+B}DAY\style{-B}() is a synonym for \style{+B}DAY\style{-B}OFMONTH().;
DAYNAME;Syntax:  \style{+B}DAYNAME\style{-B}(date)Returns the name of the weekday for date.;
DAYOFMONTH;Syntax:  \style{+B}DAYOFMONTH\style{-B}(date)Returns the day of the month for date, in the range 1 to 31, or 0 fordates such as '0000-00-00' or '2008-00-00' that have a zero day part.;
DAYOFWEEK;Syntax:  \style{+B}DAYOFWEEK\style{-B}(date)Returns the weekday index for date (1 = Sunday, 2 = Monday, .;
DAYOFYEAR;Syntax:  \style{+B}DAYOFYEAR\style{-B}(date)Returns the day of the year for date, in the range 1 to 366.;
DEALLOCATE PREPARE;Syntax:  {DEALLOCATE | DROP} PREPARE stmt_nameTo deallocate a prepared statement, use the \style{+B}DEALLOCATE PREPARE\style{-B}statement.;
DEC;\style{+B}DEC\style{-B}[(M[,D])] [UNSIGNED] [ZEROFILL], NUMERIC[(M[,D])] [UNSIGNED][ZEROFILL], FIXED[(M[,D])] [UNSIGNED] [ZEROFILL]These types are synonyms for \style{+B}DEC\style{-B}IMAL.;
DECIMAL;\style{+B}DECIMAL\style{-B}[(M[,D])] [UNSIGNED] [ZEROFILL]A packed "exact" fixed-point number.;
DECLARE CONDITION;Syntax:  DECLARE condition_name CONDITION FOR condition_valuecondition_value:    SQLSTATE [VALUE] sqlstate_value  | mysql_error_codeThe DECLARE .;
DECLARE CURSOR;Syntax:  DECLARE cursor_name CURSOR FOR select_statementThis statement declares a cursor.;
DECLARE HANDLER;Syntax:  DECLARE handler_type HANDLER    FOR condition_value [, condition_value] .;
DECLARE VARIABLE;Syntax:  DECLARE var_name [, var_name] .;
DECODE;Syntax:  \style{+B}DECODE\style{-B}(crypt_str,pass_str)Decrypts the encrypted string crypt_str using pass_str as the password.;
DEFAULT;Syntax:  \style{+B}DEFAULT\style{-B}(col_name)Returns the default value for a table column.;
DEGREES;Syntax:  \style{+B}DEGREES\style{-B}(X)Returns the argument X, converted from radians to degrees.;
DELETE;Syntax:  Single-table syntax:\style{+B}DELETE\style{-B} [LOW_PRIORITY] [QUICK] [IGNORE] FROM tbl_name    [WHERE where_condition]    [ORDER BY .;
DESCRIBE;Syntax:  {\style{+B}DESCRIBE\style{-B} | DESC} tbl_name [col_name | wild]\style{+B}DESCRIBE\style{-B} provides information about the columns in a table.;
DES_DECRYPT;Syntax:  \style{+B}DES_DECRYPT\style{-B}(crypt_str[,key_str])Decrypts a string encrypted with DES_ENCRYPT().;
DES_ENCRYPT;Syntax:  \style{+B}DES_ENCRYPT\style{-B}(str[,{key_num|key_str}])Encrypts the string with the given key using the Triple-DES algorithm.;
DIMENSION;Dimension(g)Returns the inherent dimension of the geometry value g.;
DISJOINT;Disjoint(g1,g2)Returns 1 or 0 to indicate whether g1 is spatially disjoint from (doesnot intersect) g2.;
DIV;Syntax:  \style{+B}DIV\style{-B}Integer division.;
DO;Syntax:  \style{+B}DO\style{-B} expr [, expr] .;
DOUBLE;\style{+B}DOUBLE\style{-B}[(M,D)] [UNSIGNED] [ZEROFILL]A normal-size (double-precision) floating-point number.;
DOUBLE PRECISION;\style{+B}DOUBLE PRECISION\style{-B}[(M,D)] [UNSIGNED] [ZEROFILL], REAL[(M,D)] [UNSIGNED][ZEROFILL]These types are synonyms for DOUBLE.;
DROP DATABASE;Syntax:  DROP {DATABASE | SCHEMA} [IF EXISTS] db_name\style{+B}DROP DATABASE\style{-B} drops all tables in the database and deletes thedatabase.;
DROP EVENT;Syntax:  \style{+B}DROP EVENT\style{-B} [IF EXISTS] event_nameThis statement drops the event named event_name.;
DROP FUNCTION;The \style{+B}DROP FUNCTION\style{-B} statement is used to drop stored functions anduser-defined functions (UDFs):o For information about dropping stored functions, see [HELP DROP  PROCEDURE].;
DROP FUNCTION UDF;Syntax:  DROP FUNCTION function_nameThis statement drops the user-defined function (UDF) namedfunction_name.;
DROP INDEX;Syntax:  DROP [ONLINE|OFFLINE] INDEX index_name ON tbl_name\style{+B}DROP INDEX\style{-B} drops the index named index_name from the table tbl_name.;
DROP PROCEDURE;Syntax:  DROP {PROCEDURE | FUNCTION} [IF EXISTS] sp_nameThis statement is used to drop a stored procedure or function.;
DROP SERVER;Syntax:  \style{+B}DROP SERVER\style{-B} [ IF EXISTS ] server_nameDrops the server definition for the server named server_name.;
DROP TABLE;Syntax:  DROP [TEMPORARY] TABLE [IF EXISTS]    tbl_name [, tbl_name] .;
DROP TABLESPACE;Syntax:  \style{+B}DROP TABLESPACE\style{-B} tablespace_name    ENGINE [=] engine_nameThis statement drops a tablespace that was previously created usingCREATE TABLESPACE (see [HELP CREATE TABLESPACE]).;
DROP TRIGGER;Syntax:  \style{+B}DROP TRIGGER\style{-B} [IF EXISTS] [schema_name.;
DROP USER;Syntax:  \style{+B}DROP USER\style{-B} user [, user] .;
DROP VIEW;Syntax:  \style{+B}DROP VIEW\style{-B} [IF EXISTS]    view_name [, view_name] .;
DUAL;You are allowed to specify \style{+B}DUAL\style{-B} as a dummy table name in situationswhere no tables are referenced:mysql> SELECT 1 + 1 FROM \style{+B}DUAL\style{-B};        -> 2\style{+B}DUAL\style{-B} is purely for the convenience of people who require that allSELECT statements should have FROM and possibly other clauses.;
ELT;Syntax:  \style{+B}ELT\style{-B}(N,str1,str2,str3,.;
ENCODE;Syntax:  \style{+B}ENCODE\style{-B}(str,pass_str)Encrypt str using pass_str as the password.;
ENCRYPT;Syntax:  \style{+B}ENCRYPT\style{-B}(str[,salt])Encrypts str using the Unix crypt() system call and returns a binarystring.;
ENDPOINT;EndPoint(ls)Returns the Point that is the endpoint of the LineString value ls.;
ENUM;\style{+B}ENUM\style{-B}('value1','value2',.;
ENVELOPE;Envelope(g)Returns the Minimum Bounding Rectangle (MBR) for the geometry value g.;
EQUALS;Equals(g1,g2)Returns 1 or 0 to indicate whether g1 is spatially equal to g2.;
EXECUTE STATEMENT;Syntax:  EXECUTE stmt_name [USING @var_name [, @var_name] .;
EXP;Syntax:  \style{+B}EXP\style{-B}(X)Returns the value of e (the base of natural logarithms) raised to thepower of X.;
EXPLAIN;Syntax:  \style{+B}EXPLAIN\style{-B} tbl_nameOr:\style{+B}EXPLAIN\style{-B} [EXTENDED | PARTITIONS] SELECT select_optionsThe \style{+B}EXPLAIN\style{-B} statement can be used either as a synonym for DESCRIBE oras a way to obtain information about how MySQL executes a SELECTstatement:o \style{+B}EXPLAIN\style{-B} tbl_name is synonymous with DESCRIBE tbl_name or SHOW COLUMNS  FROM tbl_name.;
EXPORT_SET;Syntax:  \style{+B}EXPORT_SET\style{-B}(bits,on,off[,separator[,number_of_bits]])Returns a string such that for every bit set in the value bits, you getan on string and for every bit not set in the value, you get an offstring.;
EXTERIORRING;ExteriorRing(poly)Returns the exterior ring of the Polygon value poly as a LineString.;
EXTRACT;Syntax:  \style{+B}EXTRACT\style{-B}(unit FROM date)The \style{+B}EXTRACT\style{-B}() function uses the same kinds of unit specifiers asDATE_ADD() or DATE_SUB(), but extracts parts from the date rather thanperforming date arithmetic.;
EXTRACTVALUE;Syntax:  ExtractValue(xml_frag, xpath_expr)ExtractValue() takes two string arguments, a fragment of XML markupxml_frag and an XPath expression xpath_expr (also known as a locator);it returns the text (CDATA) of the first text node which is a child ofthe element(s) matched by the XPath expression.;
FETCH;Syntax:  \style{+B}FETCH\style{-B} cursor_name INTO var_name [, var_name] .;
FIELD;Syntax:  \style{+B}FIELD\style{-B}(str,str1,str2,str3,.;
FIND_IN_SET;Syntax:  \style{+B}FIND_IN_SET\style{-B}(str,strlist)Returns a value in the range of 1 to N if the string str is in thestring list strlist consisting of N substrings.;
FLOAT;\style{+B}FLOAT\style{-B}[(M,D)] [UNSIGNED] [ZEROFILL]A small (single-precision) floating-point number.;
FLOOR;Syntax:  \style{+B}FLOOR\style{-B}(X)Returns the largest integer value not greater than X.;
FLUSH;Syntax:  \style{+B}FLUSH\style{-B} [LOCAL | NO_WRITE_TO_BINLOG]    flush_option [, flush_option] .;
FLUSH QUERY CACHE;You can defragment the query cache to better utilize its memory withthe \style{+B}FLUSH QUERY CACHE\style{-B} statement.;
FORMAT;Syntax:  \style{+B}FORMAT\style{-B}(X,D)Formats the number X to a format like '#,###,###.;
FOUND_ROWS;Syntax:  \style{+B}FOUND_ROWS\style{-B}()A SELECT statement may include a LIMIT clause to restrict the number ofrows the server returns to the client.;
FROM_DAYS;Syntax:  \style{+B}FROM_DAYS\style{-B}(N)Given a day number N, returns a DATE value.;
FROM_UNIXTIME;Syntax:  \style{+B}FROM_UNIXTIME\style{-B}(unix_timestamp), \style{+B}FROM_UNIXTIME\style{-B}(unix_timestamp,format)Returns a representation of the unix_timestamp argument as a value in'YYYY-MM-DD HH:MM:SS' or YYYYMMDDHHMMSS.;
GEOMCOLLFROMTEXT;GeomCollFromText(wkt[,srid]), GeometryCollectionFromText(wkt[,srid])Constructs a GEOMETRYCOLLECTION value using its WKT representation andSRID.;
GEOMCOLLFROMWKB;GeomCollFromWKB(wkb[,srid]), GeometryCollectionFromWKB(wkb[,srid])Constructs a GEOMETRYCOLLECTION value using its WKB representation andSRID.;
GEOMETRY;MySQL provides a standard way of creating spatial columns for geometrytypes, for example, with CREATE TABLE or ALTER TABLE.;
GEOMETRY HIERARCHY;Geometry is the base class.;
GEOMETRYCOLLECTION;GeometryCollection(g1,g2,.;
GEOMETRYN;GeometryN(gc,N)Returns the N-th geometry in the GeometryCollection value gc.;
GEOMETRYTYPE;GeometryType(g)Returns as a string the name of the geometry type of which the geometryinstance g is a member.;
GEOMFROMTEXT;GeomFromText(wkt[,srid]), GeometryFromText(wkt[,srid])Constructs a geometry value of any type using its WKT representationand SRID.;
GEOMFROMWKB;GeomFromWKB(wkb[,srid]), GeometryFromWKB(wkb[,srid])Constructs a geometry value of any type using its WKB representationand SRID.;
GET_FORMAT;Syntax:  \style{+B}GET_FORMAT\style{-B}({DATE|TIME|DATETIME}, {'EUR'|'USA'|'JIS'|'ISO'|'INTERNAL'})Returns a format string.;
GET_LOCK;Syntax:  \style{+B}GET_LOCK\style{-B}(str,timeout)Tries to obtain a lock with a name given by the string str, using atimeout of timeout seconds.;
GLENGTH;GLength(ls)Returns as a double-precision number the length of the LineString valuels in its associated spatial reference.;
GRANT;Syntax:  \style{+B}GRANT\style{-B}    priv_type [(column_list)]      [, priv_type [(column_list)]] .;
GREATEST;Syntax:  \style{+B}GREATEST\style{-B}(value1,value2,.;
GROUP_CONCAT;Syntax:  \style{+B}GROUP_CONCAT\style{-B}(expr)This function returns a string result with the concatenated non-NULLvalues from a group.;
HANDLER;Syntax:  \style{+B}HANDLER\style{-B} tbl_name OPEN [ [AS] alias]\style{+B}HANDLER\style{-B} tbl_name READ index_name { = | >= | <= | < } (value1,value2,.;
HELP COMMAND;Syntax:  mysql> help search_stringIf you provide an argument to the help command, mysql uses it as asearch string to access server-side help from the contents of the MySQLReference Manual.;
HELP STATEMENT;Syntax:  HELP 'search_string'The HELP statement returns online information from the MySQL Referencemanual.;
HEX;Syntax:  \style{+B}HEX\style{-B}(N_or_S)If N_or_S is a number, returns a string representation of thehexadecimal value of N, where N is a longlong (BIGINT) number.;
HOUR;Syntax:  \style{+B}HOUR\style{-B}(time)Returns the hour for time.;
IF FUNCTION;Syntax:  IF(expr1,expr2,expr3)If expr1 is TRUE (expr1 <> 0 and expr1 <> NULL) then IF() returnsexpr2; otherwise it returns expr3.;
IF STATEMENT;Syntax:  IF search_condition THEN statement_list    [ELSEIF search_condition THEN statement_list] .;
